"ID","GEBV"
"C3P7F6:10","-0.000274995334174575"
"C9P1F6:7","-0.000192999525421664"
"C3P6F6:13","-0.000167418896249786"
"C8P1F6:7","-0.000312124670244637"
"C3P11F6:2","-0.000313887229895445"
"C5P1F6:7","-0.000376250188569997"
"C8P28F6:2","-0.000394856786557493"
"C2P1F6:9","-0.0005338406927236"
"C8P17F6:14","-0.000334137476668996"
"C8P4F6:10","-0.000373473450477353"
"C5P6F6:3","-0.000353001312041917"
"C3P9F6:23","-0.000281736706933617"
"C7P4F6:19","-0.000325042807435594"
"C3P7F6:15","-0.000261954211366329"
"C3P7F6:2","-9.62991957356823e-05"
"C2P4F6:9","-0.000407579945681751"
"C3P3F6:6","-0.000428238648004019"
"C3P4F6:11","-0.000316912593082715"
"C5P7F6:2","-0.000500324135541276"
"C3P12F6:2","-0.000436338460405887"
"C2P1F6:12","-0.000279077843240427"
"C3P12F6:1","-0.000182013828463339"
"C2P4F6:6","-0.000448473553928053"
"C5P5F6:3","-0.000241778287684539"
"C2P4F6:20","-0.000212534664501783"
"C3P11F6:5","-0.000360952976897322"
"C3P9F6:6","-0.000260389672653518"
"C2P1F6:15","-0.000155453320274254"
"C4P28F6:6","-0.000466008937433926"
"C7P2F6:11","-0.000435899229975161"
"C4P25F6:4","-0.000552619590267123"
"C4P26F6:5","-0.00039238550346899"
"C5P7F6:8","-0.000321881290146161"
"C7P5F6:2","-0.000406506371031204"
"C2P3F6:12","-0.000367351834424824"
"C4P33F6:4","-0.00044284962047247"
"C3P6F6:9","-0.000132282368035228"
"C9p1F6:1","-0.000277713772344764"
"C7P2F6:5","-0.00047139019792863"
"C3P3F6:7","-0.000303010292224477"
"C3P9F6:4","-0.000186611971692756"
"C4P28F6:9","-0.000443264220318879"
"C3P3F6:4","-0.000554309632601396"
"C4P28F6:14","-0.000494269017372326"
"C2P1F6:2","-0.00032444823605641"
"C5P9F6:3","-0.000355409714645826"
"C4p27F6:1","-0.000464900034632955"
"C8P12F6:6","-0.000474767024261474"
"C4P1F6:4","-0.000492312811084599"
"C4P1F6:46","-0.000490111905970223"
"C5P1F6:34","-0.00037444450809141"
"C2P4F6:16","-0.000323252060760458"
"C7P1F6:43","-0.000466360211029257"
"C2P3F6:6","-7.62495953880352e-05"
"C4P28F6:11","-0.000424410652520952"
"C4P28F6:15","-0.000424918667054619"
"C3P12F6:3","-0.000113782215381841"
"C5P9F6:6","-0.000509892943115906"
"C3P7F6:14","-0.000345263125448174"
"C5P7F6:9","-0.000438963710017242"
"C10P5F6:8","-0.000531518200597169"
"C8P24F6:5","-0.000387692632519322"
"C8P17F6:4","-0.000498292620456382"
"C3P7F6:1","-0.00035250280007211"
"C7P5F6:5","-0.000417792980445896"
"C8P22F5:2","-0.000576380595679093"
"C7P1F6:5","-0.000388466466928442"
"C7P5:F6:6","-0.000388265150443936"
"C10P9F6:23","-0.000434746383171599"
"C7P1F6:2","-0.000377809532602318"
"C8P12F6:4","-0.000374175928982229"
"C8P30F6:3","-0.000347283950081668"
"C8P29F6:8","-0.000410957295382472"
"C9P10F6:4","-0.00024973387408684"
"C8P1F6:3","-0.00041857765662273"
"C9P10F6:10","-0.000557160959094795"
"C8P6F6:2","-0.000403643612144494"
"C9P10F6:11","-0.00014067146859299"
"C10P6F6:10","-0.000455672767338821"
"C8P18F6:2","-0.000147828871412769"
"C8P2F6:1","-0.000469541331639372"
"C7P4F6:16","-0.000374876331898611"
"C8P22F6:7","-0.000435151088761011"
"C8P30F6:8","-0.000282444838835833"
"C8P11F6:4","-0.000345953562282007"
"C2P3F6:5","-0.000272605057998128"
"C8P4F6:12","-0.000223856906967476"
"C9P10F6:6","-0.000312454100408601"
"C5P7F6:5","-0.000258654983812497"
"C5P7F6:1","-0.000431779957229539"
"C8P27F6:2","-0.000285808344930044"
"C7P4F6:10","-0.000329872900872434"
"C9P15F6:7","-0.000336031376530154"
