<Phenotype>,Days.Flowering,Days.Maturity,Lodging,Chl.B,Total.Chl,Carotenoids,Yield
Ne2_09_3,47.68346184,81.66666667,3.666666667,12.24563862,34.04648296,4.406937893,975.0637462
Ne2_09_4,46.66666667,89.5,5.165001121,11.84059272,34.13209696,4.664062779,835.7381631
Ne2_09_8,45.66666667,88.5,5,16.29932651,40.91258147,4.262236951,1005.312848
Neptune,50.16666667,101,3.666666667,11.61595388,34.35098191,5.230028599,1305.765462
Newport,46.5,93.16666667,2.005772325,11.29439137,31.89441787,4.345076147,1571.408483
Nodak,45.66666667,90.33333333,7.166666667,18.49919646,41.21176059,3.543541831,1154.353017
Norstar,48.60128317,81,4.666666667,14.20494566,35.81163749,4.517706724,1646.472746
Nw_395,45.83333333,85.66666667,6.166666667,10.52073398,29.83944065,4.100350953,904.2070495
Nw_410,47.16666667,85.16666667,3.833333333,15.82713312,37.86823355,3.96011427,1276.125695
Nw_590,46.66666667,98,7.5,14.64811965,37.18719945,3.877668575,922.1672248
Nw_63,47.66666667,110.6666667,8.333333333,14.73174953,35.61014248,3.280642795,820.7374296
Oac_Gryphon,46.66666667,98.33333333,3.333333333,11.32628833,32.50889876,4.646087247,1121.865996
Oac_Laser,49.60128317,85.33333333,2,13.13146708,33.6166307,4.04420293,1157.367726
Oac_Rex,46.60128317,86.33333333,1,14.64191475,37.87286524,4.16306971,1322.681001
Oac_Seaforth,44.66666667,94,2,9.96317319,29.86839923,4.87949423,1002.63185
Olathe,46.83333333,86.5,6.833333333,15.73791429,37.92713787,4.132600767,890.9641101
Orca,47,93.33333333,4.666666667,17.93195148,42.12633989,3.836954696,479.1562504
Orion,44.66666667,88.66666667,5.5,10.52639422,29.25797207,3.850022225,927.6658109
Othello,42.93461651,91.83333333,5.666666667,15.04757264,38.06441771,4.152770903,816.4527141
Ouray,48.5,81.66666667,3,12.21420549,32.7933107,4.317247796,773.1847454
P07863_Eldorado,46.66666667,104.3333333,3.396728798,16.76875285,39.24100153,3.086601896,1253.436029
Phantom,47.83333333,97,1.333333333,9.956879876,30.38570425,4.929410664,1654.008937
Pindak,47.33333333,84,7.333333333,14.35071834,36.26010151,4.195251035,866.3251688
Pinkfloyd,46.26794984,88.83333333,7.166666667,15.69694972,38.47879969,4.274952558,1132.337644
Pk9_7,47.16666667,86.83333333,4.666666667,12.09138199,33.04764697,4.106749447,1296.333266
Poncho,47.16666667,95.66666667,7.289529831,16.20715165,38.1688606,4.946769239,1130.28343
Pr_0401_259,46,94.5,1,10.96436786,31.0323063,4.395826593,1323.233598
Pr_0443_151,49.33333333,99.83333333,3.833333333,13.18350396,36.28839531,4.97934251,1042.404258
Pr0340_3_3_1,47.33333333,101.1666667,3.166666667,13.03678522,34.21893331,4.119076499,1130.984513
Pt7_2,50.33333333,99.66666667,7.666666667,12.08271908,32.83489274,4.307613464,1214.264228
Pt9_17,47.16666667,99.33333333,6.166666667,10.44483015,29.45905473,3.922168129,1110.95844
Puebla_152,52.33333333,102.3333333,8.333333333,13.752837,35.62676135,4.015063074,1234.246641
Quincy,47.66666667,95.33333333,6.666666667,16.58759108,37.46403347,3.930934387,820.8949369
Raven,47.83333333,98.5,1,10.79240493,32.26895281,4.974726822,1374.199668
Red_Ryder,42.93461651,90.83333333,4.715178269,13.94637319,36.24677049,4.282342719,869.3840924
Reliant,47.33333333,93.66666667,2.333333333,11.4921697,33.91029517,4.97553718,784.8417283
Remington,46.83333333,91.16666667,4.389908487,14.15433803,35.18060651,3.51739012,676.7069427
Rog312,44.83333333,87,5.833333333,13.12410081,33.31250614,4.13672039,991.9903843
Rojo_Chiquito,48.33333333,93.33333333,1.666666667,8.274129696,27.82499145,5.029126059,1116.823598
Rosetta,45.93461651,94.92473288,4.570753454,13.41216221,35.35660165,4.759370592,1045.121819
Roza,49.33333333,103.5,9.5,11.93553413,33.53631275,4.460070756,1116.549048
S08418,46.06538349,94.74193379,2.760979673,10.9991689,32.84653326,4.970618722,836.3703715
Sanilac,42.66666667,85.66666667,1.5,9.748480993,28.24554081,4.4222149,727.1408859
Sanjuan,50.5,114.5,9.905401789,11.0269404,32.96102503,5.114959939,1220.818061
Santafe,44.83333333,86.33333333,3.5,11.74050827,33.67082143,4.746787291,839.8652955
Sapphire,50.46450587,105.7957945,10.09472196,12.37224747,36.47833239,5.73626096,1155.472104
Sawtooth,46.83333333,113,7.666666667,10.17765861,31.45877283,5.094376166,1010.793876
Schooner,46,92.16666667,4.833333333,12.99656008,34.87130149,4.165578984,1299.580322
Sea10,44.33333333,82.33333333,8.5,11.80162833,32.36125171,4.029810373,1077.281541
Seabiskit,50,98.5,2.833333333,9.101597733,31.08408601,5.797275732,1516.051508
Seafarer,45.16666667,85.66666667,1.666666667,11.90939225,31.81507691,3.982063095,1234.477535
Seahawk,46.66666667,91.33333333,5.666666667,9.097426294,30.20674161,5.572477411,1401.663404
Sedona,45.33333333,88.33333333,4.833333333,15.07816583,38.62581881,4.501250395,918.8895757
Sequoia,46.5,96.5,5,15.98744305,39.83107033,4.113951388,1163.064761
Shania,47.83333333,96.16666667,1.833333333,10.30721824,33.0959628,5.703093579,1282.338111
Shinycrow,47,91.33333333,8.5,12.55138094,36.50992592,5.74346806,1234.247961
Shoshone,45,90,5.166666667,18.79440615,42.15225517,2.889052675,1074.380763
Sierra,47.16666667,99.16666667,6.666666667,14.24001395,37.65558856,4.530525711,998.3655102
Sonora,46.33333333,92.16666667,4.833333333,9.682519411,29.52694721,4.999745686,1017.420547
Sr7_3,46.5,82.16666667,6.5,15.95382086,39.13715493,4.792418858,734.890141
Sr9_4,47,94.5,2.5,18.61441324,41.9708474,4.608452856,959.472561
Stampede,46.83333333,81.5,2.5,11.49228982,35.23759468,5.651269384,1256.265886
Starlight,45.16666667,88.66666667,6,12.7838845,35.81935038,4.577428824,701.9911578
Swan_Valley,48.16666667,97.83333333,4.833333333,12.95868462,34.84315414,4.357097986,1004.642437
T39,47.5,95,2.833333333,13.10081787,35.64278515,4.638461369,1435.506087
T9903,46.66666667,86.16666667,2.833333333,12.89824942,33.13805829,3.846909493,1203.841597
T9905,45.96447799,92.33333333,3.025261458,12.04831856,35.14039309,5.174877576,1540.711294
Tara,53.02383864,110.5,10,13.00045934,36.66613648,5.125808268,831.7177976
Tars_Vci_4B,51.66666667,103.5,9.666666667,13.16726685,34.87097827,4.20750807,1107.021351
Tars09_Rr004,48.66666667,104.1666667,1.333333333,11.48508806,32.54621624,4.518672208,1420.559103
Tars09_Rr007,46.33333333,85.16666667,5.333333333,9.866139858,30.63531193,5.079816917,1374.572475
Tars09_Rr023,47.33333333,88.16666667,7.333333333,11.18987294,32.46312719,4.578032505,1596.089792
Tars09_Rr029,48.66666667,95.33333333,3.333333333,10.34156271,30.43235829,4.667734241,1044.970742
Topaz,44.83333333,81.16666667,4.5,14.79936503,35.67501533,3.914182868,882.7336863
Ucd_96114,46.33333333,90.33333333,2.666666667,11.23112273,33.06824433,5.096635175,1400.016849
Ucd_9623,45.16666667,92.16666667,3,12.95031407,34.09699671,3.850265862,876.2648716
Ucd_9634,46.16666667,96.66666667,4.333333333,14.57611747,36.28106694,3.986732247,1502.044288
Ui_111,46.66666667,103.8333333,7.833333333,14.45781628,36.62301766,3.715997929,1077.572368
Ui_114,47.33333333,105.8333333,8,17.75106579,41.22257361,3.318859417,928.8107641
Ui_123,46.66666667,99,9.666666667,11.4433793,34.85643274,5.340424267,1038.732625
Ui_126,48.60128317,103.6666667,7.166666667,15.43279321,36.61759305,3.644622017,950.3433573
Ui_196,49.33333333,86.66666667,9.333333333,15.10789204,37.23266145,3.560716123,727.800128
Ui_228,47.66666667,93.16666667,6.833333333,15.13054293,37.5162702,3.6553693,1200.204675
Ui_239,44.66666667,96.33333333,7.5,11.65277746,34.0509588,4.964344554,692.827256
Ui_3,49.83333333,100,9,14.74185555,38.37087581,4.610009775,1007.01273
Ui_37,47.33333333,109.3333333,8.166666667,12.94515504,32.31828482,3.097226268,1066.201302
Ui_425,44.5,105,8.5,9.880178009,31.10820939,5.105583662,653.773572
Ui_537,44.83333333,105.5,5.333333333,12.79739198,34.36476484,4.059046951,884.3082478
Ui_59,46.5,91,9,10.977836,32.51408471,5.01795146,598.1666666
Ui_906,46.5,82.16666667,3.333333333,11.2318417,32.37813036,4.74704,959.2928969
Ui_911,44,88.5,2.166666667,13.20126529,34.73321051,4.401828063,1138.140511
Urs_117,53.33333333,109,8.5,12.4186443,34.85281844,4.762641394,892.633772
Us_1140,47.73452821,91.50588854,7.402653879,13.33440161,33.56661424,4.016205528,896.1288013
Uspt_Cbb_1,45.16666667,94.33333333,5.333333333,13.17518408,35.32452679,4.251739771,875.5631151
Uspt_Cbb_3,51.16666667,98.83333333,9.5,12.75104387,35.21080482,4.547601851,681.3639987
Uspt_Cbb_5_1,48.83333333,91.33333333,7.333333333,11.5867225,35.31711531,5.866794495,895.5497151
Uspt_Wm_1,45.5,90.16666667,2.166666667,12.73285999,33.92778105,4.066275944,908.2130225
Usrm_20,46.5,97.33333333,6.833333333,11.4072173,35.10477057,5.734801651,719.2258771
Uswa_12,48.33333333,102.3333333,6.666666667,14.51400017,38.59247194,4.621527286,679.1989195
Uswa_13,47.16666667,86.5,6.666666667,14.05033394,34.57072078,3.393940733,734.8352806
Uswa_50,45.83333333,89.5,4.5,8.230307394,28.0842636,5.60711571,1035.343549
Uswa_61,46.5,98.66666667,4.833333333,16.03844685,39.23099238,3.865498693,812.6836756
Verano,48.60128317,98.92473288,4.570753454,12.27785443,34.44834498,4.547276518,989.9961241
Verano_2,45.73205016,102.4086005,3.095913213,11.20627939,33.92842263,5.353144029,666.7794785
Victor,45,105,9.333333333,11.53282356,33.24034239,4.677502642,714.8323705
Vision,46.83333333,106.3333333,6.5,12.92816553,36.18423439,5.053310012,634.4684426
Vista,47.33333333,95.16666667,3.333333333,12.03704367,34.40409825,4.959304109,1065.765832
Viva,48.16666667,101.8333333,6,11.53870677,34.52797545,5.589043873,1017.988288
Voyager,45.5,83.16666667,3.333333333,9.768430595,27.43051546,3.926827359,1461.328573
Weihing,47.33333333,96.33333333,5.666666667,12.24513604,34.43290509,4.700278878,967.9692983
Win_Mor,47,92.16666667,5.333333333,15.15171022,37.21104147,3.680226397,1076.165597
Windbreaker,45.66666667,85,2.666666667,15.550308,38.66928931,3.783849585,849.9636524
X115M_Blackrhino,47.33333333,94.33333333,6.248025674,12.36494141,34.25041316,4.529287396,923.7102055
X6R_42,49.16666667,107.1666667,9.5,12.7740633,35.4602265,4.795704707,555.2946619
X92Bg_7,46.66666667,87.33333333,4.333333333,9.819387543,31.45698306,5.679809646,604.8841226
X92Us_1006,43.66666667,85.66666667,4.333333333,14.31996608,36.60879505,4.571569398,792.0400092
Xan_176,49.66666667,92.83333333,2.333333333,12.28534947,35.16783282,5.074571617,1404.800973
Yolano,47.5,101.3333333,5.166666667,14.09574339,35.49667512,3.538872236,694.4518374
Zorro,47.66666667,99.83333333,1.666666667,12.03724184,35.53164154,5.155138592,1064.572422
